Geography,Population,Labour_Metric,Sex,Year,Indicator,Value
Canada,Total population,Population 5,Both sexes,2020,Persons,"31,052.60"
Canada,Total population,Population 5,Males,2020,Persons,"15,337.20"
Canada,Total population,Population 5,Females,2020,Persons,"15,715.40"
Canada,Total population,Labour force 6,Both sexes,2020,Persons,"19,936.40"
Canada,Total population,Labour force 6,Males,2020,Persons,"10,556.10"
Canada,Total population,Labour force 6,Females,2020,Persons,"9,380.30"
Canada,Total population,Employment 7,Both sexes,2020,Persons,"18,002.90"
Canada,Total population,Employment 7,Males,2020,Persons,"9,519.20"
Canada,Total population,Employment 7,Females,2020,Persons,"8,483.70"
Canada,Total population,Unemployment 8,Both sexes,2020,Persons,"1,933.50"
Canada,Total population,Unemployment 8,Males,2020,Persons,"1,036.90"
Canada,Total population,Unemployment 8,Females,2020,Persons,896.6
Canada,Total population,Not in labour force 9,Both sexes,2020,Persons,"11,116.20"
Canada,Total population,Not in labour force 9,Males,2020,Persons,"4,781.10"
Canada,Total population,Not in labour force 9,Females,2020,Persons,"6,335.10"
Canada,Total population,Population 5,Both sexes,2021,Persons,"31,326.10"
Canada,Total population,Population 5,Males,2021,Persons,"15,471.20"
Canada,Total population,Population 5,Females,2021,Persons,"15,854.90"
Canada,Total population,Labour force 6,Both sexes,2021,Persons,"20,455.50"
Canada,Total population,Labour force 6,Males,2021,Persons,"10,788.90"
Canada,Total population,Labour force 6,Females,2021,Persons,"9,666.60"
Canada,Total population,Employment 7,Both sexes,2021,Persons,"18,904.80"
Canada,Total population,Employment 7,Males,2021,Persons,"9,951.80"
Canada,Total population,Employment 7,Females,2021,Persons,"8,953.00"
Canada,Total population,Unemployment 8,Both sexes,2021,Persons,"1,550.70"
Canada,Total population,Unemployment 8,Males,2021,Persons,837.2
Canada,Total population,Unemployment 8,Females,2021,Persons,713.5
Canada,Total population,Not in labour force 9,Both sexes,2021,Persons,"10,870.60"
Canada,Total population,Not in labour force 9,Males,2021,Persons,"4,682.20"
Canada,Total population,Not in labour force 9,Females,2021,Persons,"6,188.40"
Canada,Total population,Population 5,Both sexes,2022,Persons,"31,771.90"
Canada,Total population,Population 5,Males,2022,Persons,"15,692.60"
Canada,Total population,Population 5,Females,2022,Persons,"16,079.20"
Canada,Total population,Labour force 6,Both sexes,2022,Persons,"20,767.90"
Canada,Total population,Labour force 6,Males,2022,Persons,"10,891.20"
Canada,Total population,Labour force 6,Females,2022,Persons,"9,876.70"
Canada,Total population,Employment 7,Both sexes,2022,Persons,"19,661.50"
Canada,Total population,Employment 7,Males,2022,Persons,"10,297.90"
Canada,Total population,Employment 7,Females,2022,Persons,"9,363.60"
Canada,Total population,Unemployment 8,Both sexes,2022,Persons,"1,106.40"
Canada,Total population,Unemployment 8,Males,2022,Persons,593.3
Canada,Total population,Unemployment 8,Females,2022,Persons,513.1
Canada,Total population,Not in labour force 9,Both sexes,2022,Persons,"11,004.00"
Canada,Total population,Not in labour force 9,Males,2022,Persons,"4,801.40"
Canada,Total population,Not in labour force 9,Females,2022,Persons,"6,202.60"
Canada,Total population,Population 5,Both sexes,2023,Persons,"32,501.90"
Canada,Total population,Population 5,Males,2023,Persons,"16,075.30"
Canada,Total population,Population 5,Females,2023,Persons,"16,426.60"
Canada,Total population,Labour force 6,Both sexes,2023,Persons,"21,296.30"
Canada,Total population,Labour force 6,Males,2023,Persons,"11,184.80"
Canada,Total population,Labour force 6,Females,2023,Persons,"10,111.50"
Canada,Total population,Employment 7,Both sexes,2023,Persons,"20,136.20"
Canada,Total population,Employment 7,Males,2023,Persons,"10,559.80"
Canada,Total population,Employment 7,Females,2023,Persons,"9,576.40"
Canada,Total population,Unemployment 8,Both sexes,2023,Persons,"1,160.00"
Canada,Total population,Unemployment 8,Males,2023,Persons,625
Canada,Total population,Unemployment 8,Females,2023,Persons,535.1
Canada,Total population,Not in labour force 9,Both sexes,2023,Persons,"11,205.60"
Canada,Total population,Not in labour force 9,Males,2023,Persons,"4,890.50"
Canada,Total population,Not in labour force 9,Females,2023,Persons,"6,315.10"
Canada,Total population,Population 5,Both sexes,2024,Persons,"33,616.60"
Canada,Total population,Population 5,Males,2024,Persons,"16,675.70"
Canada,Total population,Population 5,Females,2024,Persons,"16,941.00"
Canada,Total population,Labour force 6,Both sexes,2024,Persons,"21,898.20"
Canada,Total population,Labour force 6,Males,2024,Persons,"11,548.20"
Canada,Total population,Labour force 6,Females,2024,Persons,"10,350.00"
Canada,Total population,Employment 7,Both sexes,2024,Persons,"20,507.20"
Canada,Total population,Employment 7,Males,2024,Persons,"10,777.80"
Canada,Total population,Employment 7,Females,2024,Persons,"9,729.40"
Canada,Total population,Unemployment 8,Both sexes,2024,Persons,"1,391.00"
Canada,Total population,Unemployment 8,Males,2024,Persons,770.4
Canada,Total population,Unemployment 8,Females,2024,Persons,620.6
Canada,Total population,Not in labour force 9,Both sexes,2024,Persons,"11,718.40"
Canada,Total population,Not in labour force 9,Males,2024,Persons,"5,127.40"
Canada,Total population,Not in labour force 9,Females,2024,Persons,"6,591.00"
Canada,Total population,Unemployment rate 10,Both sexes,2020,Percentage,9.7
Canada,Total population,Unemployment rate 10,Males,2020,Percentage,9.8
Canada,Total population,Unemployment rate 10,Females,2020,Percentage,9.6
Canada,Total population,Participation rate 11,Both sexes,2020,Percentage,64.2
Canada,Total population,Participation rate 11,Males,2020,Percentage,68.8
Canada,Total population,Participation rate 11,Females,2020,Percentage,59.7
Canada,Total population,Employment rate 12,Both sexes,2020,Percentage,58
Canada,Total population,Employment rate 12,Males,2020,Percentage,62.1
Canada,Total population,Employment rate 12,Females,2020,Percentage,54
