,REF_DATE,GEO,Gender,Indicators,UOM,VALUE
0,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Percent,11.6
1,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Percent,8.4
2,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Percent,15.9
3,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Number,51.0
4,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Number,35.0
5,2021-07,Newfoundland and Labrador,"Total, all persons",Always or often feels lonely,Number,68.0
6,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Percent,29.3
7,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Percent,23.8
8,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Percent,35.6
9,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Number,129.0
10,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Number,103.0
11,2021-07,Newfoundland and Labrador,"Total, all persons",Sometimes feels lonely,Number,156.0
12,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Percent,59.0
13,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Percent,52.7
14,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Percent,65.1
15,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Number,261.0
16,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Number,233.0
17,2021-07,Newfoundland and Labrador,"Total, all persons",Rarely or never feels lonely,Number,288.0
18,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,8.5
19,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,4.6
20,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Percent,15.0
21,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Number,
22,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Number,
23,2021-07,Newfoundland and Labrador,Men,Always or often feels lonely,Number,
24,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,20.1
25,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,12.4
26,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Percent,31.0
27,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Number,
28,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Number,
29,2021-07,Newfoundland and Labrador,Men,Sometimes feels lonely,Number,
30,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,71.4
31,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,60.3
32,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Percent,80.5
33,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Number,153.0
34,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Number,131.0
35,2021-07,Newfoundland and Labrador,Men,Rarely or never feels lonely,Number,175.0
36,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,14.7
37,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,10.1
38,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Percent,20.7
39,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Number,
40,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Number,
41,2021-07,Newfoundland and Labrador,Women,Always or often feels lonely,Number,
42,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,38.0
43,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,31.1
44,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Percent,45.4
45,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Number,86.0
46,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Number,70.0
47,2021-07,Newfoundland and Labrador,Women,Sometimes feels lonely,Number,103.0
48,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,47.4
49,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,40.3
50,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Percent,54.5
51,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Number,108.0
52,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Number,92.0
53,2021-07,Newfoundland and Labrador,Women,Rarely or never feels lonely,Number,124.0
54,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Percent,12.2
55,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Percent,9.2
56,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Percent,15.9
57,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Number,
58,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Number,
59,2021-07,Prince Edward Island,"Total, all persons",Always or often feels lonely,Number,
60,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Percent,32.3
61,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Percent,27.6
62,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Percent,37.3
63,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Number,43.0
64,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Number,37.0
65,2021-07,Prince Edward Island,"Total, all persons",Sometimes feels lonely,Number,50.0
