"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409802","1.1.1.1","13.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409803","1.1.1.2","12.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409804","1.1.1.3","13.9","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409805","1.1.1.4","4050","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409806","1.1.1.5","3782","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409807","1.1.1.6","4318","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409808","1.1.2.1","34.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409809","1.1.2.2","33.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409810","1.1.2.3","35.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409811","1.1.2.4","10665","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409812","1.1.2.5","10287","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409813","1.1.2.6","11044","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409814","1.1.3.1","52.7","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409815","1.1.3.2","51.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409816","1.1.3.3","54.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Number of persons","Number","223","thousands","3","v1331409817","1.1.3.4","16428","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409818","1.1.3.5","16050","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rarely or never feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409819","1.1.3.6","16806","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Percentage of persons","Percent","239","units","0","v1331409820","1.2.1.1","11.3","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409821","1.2.1.2","10.1","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409822","1.2.1.3","12.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Number of persons","Number","223","thousands","3","v1331409823","1.2.1.4","1733","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409824","1.2.1.5","1544","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Always or often feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409825","1.2.1.6","1923","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Percentage of persons","Percent","239","units","0","v1331409826","1.2.2.1","31.2","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409827","1.2.2.2","29.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409828","1.2.2.3","33.0","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Number of persons","Number","223","thousands","3","v1331409829","1.2.2.4","4803","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409830","1.2.2.5","4529","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Sometimes feels lonely","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1331409831","1.2.2.6","5077","","","","0"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Percentage of persons","Percent","239","units","0","v1331409832","1.2.3.1","57.5","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409833","1.2.3.2","55.6","","","","1"
"2021-07","Canada (excluding territories)","2016A000011124","Men","Rarely or never feels lonely","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1331409834","1.2.3.3","59.4","","","","1"
