,Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,Tx,DwTx,Tn,DwTn,P,DwP,Pd,HDD,CDD,year,month,province_full_name,region
10,-123.287,48.764,NORTH PENDER ISLAND,1015638,BC,6.0,2.0,12.0,2.0,0.0,2.0,186.4,2.0,21.0,347.8,0.0,2018,1,British Columbia,Western
25,-125.273,49.952,CAMPBELL RIVER A,1021261,BC,2.7,1.0,11.5,1.0,-7.5,1.0,398.1,1.0,24.0,459.0,0.0,2018,1,British Columbia,Western
46,-125.216,48.786,CAPE BEALE LIGHT,1031316,BC,6.9,0.0,12.0,0.0,0.5,0.0,642.2,0.0,28.0,343.6,0.0,2018,1,British Columbia,Western
50,-125.923,49.111,LENNARD ISLAND,1034600,BC,6.2,0.0,15.0,0.0,0.0,0.0,700.4,0.0,27.0,365.2,0.0,2018,1,British Columbia,Western
51,-124.655,48.859,NITINAT RIVER HATCHERY,1035612,BC,5.1,0.0,12.5,0.0,-1.0,0.0,869.9,0.0,26.0,398.6,0.0,2018,1,British Columbia,Western
52,-126.617,49.6,NOOTKA LIGHTSTATION,1035614,BC,6.5,2.0,15.5,2.0,1.5,2.0,632.0,2.0,25.0,332.3,0.0,2018,1,British Columbia,Western
64,-123.541,49.386,GIBSONS GOWER POINT,1043152,BC,5.6,0.0,12.0,0.0,-1.0,0.0,270.4,0.0,24.0,383.7,0.0,2018,1,British Columbia,Western
69,-124.5,49.834,POWELL RIVER A,1046391,BC,4.1,0.0,10.5,0.0,-5.0,0.0,293.1,0.0,24.0,431.7,0.0,2018,1,British Columbia,Western
76,-133.058,54.255,LANGARA,1054500,BC,4.7,0.0,11.5,0.0,-0.5,0.0,155.0,0.0,24.0,411.1,0.0,2018,1,British Columbia,Western
79,-131.814,53.254,SANDSPIT,1057052,BC,5.8,16.0,9.6,16.0,0.2,16.0,145.4,16.0,13.0,183.2,0.0,2018,1,British Columbia,Western
82,-126.587,52.389,BELLA COOLA AIRPORT,1060844,BC,0.5,3.0,7.0,3.0,-9.2,3.0,78.8,4.0,12.0,489.6,0.0,2018,1,British Columbia,Western
83,-128.524,52.643,BOAT BLUFF,1060901,BC,4.7,0.0,11.5,0.0,-2.0,0.0,504.2,0.0,23.0,413.6,0.0,2018,1,British Columbia,Western
84,-130.638,53.493,BONILLA ISLAND,1060902,BC,6.1,0.0,18.5,0.0,-1.0,0.0,232.6,0.0,23.0,367.6,0.0,2018,1,British Columbia,Western
94,-127.943,53.563,KEMANO,1064020,BC,-0.1,0.0,6.0,0.0,-11.0,0.0,172.6,0.0,22.0,561.8,0.0,2018,1,British Columbia,Western
102,-128.625,54.502,TERRACE PCC,1068131,BC,-0.9,0.0,6.0,0.0,-11.0,0.0,131.2,0.0,16.0,584.4,0.0,2018,1,British Columbia,Western
104,-130.88,54.295,TRIPLE ISLAND,1068250,BC,5.5,0.0,12.5,0.0,-1.0,0.0,126.0,0.0,21.0,387.2,0.0,2018,1,British Columbia,Western
107,-126.668,54.396,HOUSTON,1073615,BC,-6.6,8.0,2.0,8.0,-25.0,8.0,8.0,11.0,2.0,565.1,0.0,2018,1,British Columbia,Western
111,-127.171,55.289,SUSKWA VALLEY,107G879,BC,-6.3,1.0,3.0,1.0,-21.5,1.0,53.0,1.0,14.0,727.6,0.0,2018,1,British Columbia,Western
114,-124.136,52.114,PUNTZI MOUNTAIN (AUT),1086558,BC,-10.2,0.0,4.6,0.0,-33.3,0.0,26.4,0.0,10.0,873.8,0.0,2018,1,British Columbia,Western
118,-124.286,54.455,FORT ST JAMES AUTO,1092975,BC,-8.0,0.0,2.9,0.0,-26.2,0.0,28.8,0.0,8.0,806.0,0.0,2018,1,British Columbia,Western
120,-122.286,52.531,MCLEESE LAKE GRANITE MT,1095018,BC,-4.8,19.0,7.0,14.0,-27.0,15.0,34.6,14.0,9.0,274.0,0.0,2018,1,British Columbia,Western
126,-121.686,52.184,SPOKIN LAKE 4E,1097646,BC,-6.3,0.0,8.0,0.0,-34.0,0.0,51.6,0.0,15.0,754.0,0.0,2018,1,British Columbia,Western
131,-121.76,49.243,AGASSIZ RCS,1100119,BC,3.7,0.0,11.4,0.0,-4.4,0.0,265.2,0.0,31.0,442.8,0.0,2018,1,British Columbia,Western
141,-122.551,49.145,FORT LANGLEY TELEGRAPH TRAIL,1102912,BC,4.4,0.0,12.0,0.0,-5.5,0.0,285.6,0.0,26.0,421.7,0.0,2018,1,British Columbia,Western
164,-121.233,49.267,HOPE SLIDE,1113581,BC,-1.1,0.0,5.5,0.0,-18.5,0.0,209.6,0.0,25.0,593.0,0.0,2018,1,British Columbia,Western
167,-121.582,50.224,LYTTON RCS,1114746,BC,-0.3,0.0,7.7,0.0,-17.5,0.0,87.8,0.0,14.0,568.0,0.0,2018,1,British Columbia,Western
168,-120.333,49.673,JELLICOE,1123721,BC,-3.4,2.0,5.0,2.0,-21.5,2.0,57.4,2.0,15.0,621.6,0.0,2018,1,British Columbia,Western
176,-119.717,49.783,PEACHLAND,1126070,BC,0.9,0.0,8.0,0.0,-11.0,0.0,77.0,0.0,14.0,531.0,0.0,2018,1,British Columbia,Western
181,-119.056,50.359,VERNON SILVER STAR LODGE,1128584,BC,-4.3,1.0,4.5,1.0,-15.0,1.0,166.0,1.0,23.0,668.8,0.0,2018,1,British Columbia,Western
186,-118.228,49.017,BILLINGS,1140876,BC,-5.5,23.0,2.0,23.0,-15.5,23.0,17.6,23.0,4.0,187.6,0.0,2018,1,British Columbia,Western
187,-117.633,49.296,CASTLEGAR A,1141455,BC,0.1,0.0,7.5,0.0,-9.0,0.0,147.0,0.0,18.0,555.8,0.0,2018,1,British Columbia,Western
195,-117.37,49.996,NEW DENVER,1145460,BC,-0.1,0.0,6.0,0.0,-15.0,0.0,106.0,0.0,21.0,562.4,0.0,2018,1,British Columbia,Western
198,-116.501,49.082,CRESTON CAMPBELL SCIENTIFIC,114B1F0,BC,0.5,0.0,8.5,0.0,-12.5,0.0,71.4,0.0,13.0,543.6,0.0,2018,1,British Columbia,Western
202,-115.073,49.489,FERNIE,1152850,BC,-3.6,5.0,5.5,5.0,-24.5,5.0,171.0,5.0,17.0,561.3,0.0,2018,1,British Columbia,Western
204,-115.962,49.632,KIMBERLEY PCC,1154203,BC,-4.5,14.0,7.0,14.0,-24.0,14.0,23.8,14.0,7.0,382.3,0.0,2018,1,British Columbia,Western
210,-119.29,52.129,BLUE RIVER A,1160899,BC,-5.3,0.0,3.0,0.0,-29.5,0.0,101.0,0.0,13.0,721.8,0.0,2018,1,British Columbia,Western
214,-121.505,51.144,CLINTON RCS,1161663,BC,-5.2,0.0,4.6,0.0,-23.1,0.0,22.8,0.0,7.0,719.3,0.0,2018,1,British Columbia,Western
222,-119.778,51.576,VAVENBY,1168520,BC,-4.3,0.0,7.0,0.0,-29.0,0.0,41.6,0.0,11.0,691.3,0.0,2018,1,British Columbia,Western
